,FA,SampleID,ug
448,C17.1n7c,BESFA.23.2.19,70
449,C17.1n7c,BESFA.23.2.2,<LOD
450,C17.1n7c,BESFA.23.2.21,<LOD
451,C17.1n7c,BESFA.23.2.22,0.7
452,C17.1n7c,BESFA.23.2.23,19.1
453,C17.1n7c,BESFA.23.2.24,<LOD
454,C17.1n7c,BESFA.23.2.25,<LOD
455,C17.1n7c,BESFA.23.2.26,0.7
456,C17.1n7c,BESFA.23.2.27,19.6
457,C16.4n1,BESFA.23.2.16,<LOD
458,C16.4n1,BESFA.23.2.17,<LOD
459,C16.4n1,BESFA.23.2.18,4.4
460,C16.4n1,BESFA.23.2.19,192.3
461,C16.4n1,BESFA.23.2.2,<LOD
462,C16.4n1,BESFA.23.2.21,<LOD
463,C16.4n1,BESFA.23.2.22,0.3
464,C16.4n1,BESFA.23.2.23,4
465,C16.4n1,BESFA.23.2.24,<LOD
466,C16.4n1,BESFA.23.2.25,<LOD
467,C16.4n1,BESFA.23.2.26,0.4
468,C16.4n1,BESFA.23.2.27,4
469,C18.0,BESFA.23.2.16,0.6
470,C18.0,BESFA.23.2.17,0.4
471,C18.0,BESFA.23.2.18,26.1
472,C18.0,BESFA.23.2.19,596.8
473,C18.0,BESFA.23.2.2,0.8
474,C18.0,BESFA.23.2.21,0.6
475,C18.0,BESFA.23.2.22,22.6
476,C18.0,BESFA.23.2.23,333.8
477,C18.0,BESFA.23.2.24,0.8
478,C18.0,BESFA.23.2.25,0.5
479,C18.0,BESFA.23.2.26,22.2
480,C18.0,BESFA.23.2.27,330.7
481,C18.1n9c,BESFA.23.2.16,0.5
482,C18.1n9c,BESFA.23.2.17,0.5
483,C18.1n9c,BESFA.23.2.18,71.5
484,C18.1n9c,BESFA.23.2.19,1091.8
485,C18.1n9c,BESFA.23.2.2,0.6
486,C18.1n9c,BESFA.23.2.21,0.6
487,C18.1n9c,BESFA.23.2.22,20.3
488,C18.1n9c,BESFA.23.2.23,319.7
489,C18.1n9c,BESFA.23.2.24,0.6
490,C18.1n9c,BESFA.23.2.25,0.5
491,C18.1n9c,BESFA.23.2.26,34.7
492,C18.1n9c,BESFA.23.2.27,408.7
493,C18.1n7c,BESFA.23.2.16,0.2
494,C18.1n7c,BESFA.23.2.17,0.2
495,C18.1n7c,BESFA.23.2.18,26.2
496,C18.1n7c,BESFA.23.2.19,407.5
497,C18.1n7c,BESFA.23.2.2,0.3
498,C18.1n7c,BESFA.23.2.21,0.2
499,C18.1n7c,BESFA.23.2.22,12.2
500,C18.1n7c,BESFA.23.2.23,341.3
501,C18.1n7c,BESFA.23.2.24,0.3
502,C18.1n7c,BESFA.23.2.25,0.2
503,C18.1n7c,BESFA.23.2.26,31.5
504,C18.1n7c,BESFA.23.2.27,382.6
505,C18.2n6c,BESFA.23.2.16,0.1
506,C18.2n6c,BESFA.23.2.17,0.1
507,C18.2n6c,BESFA.23.2.18,11.8
508,C18.2n6c,BESFA.23.2.19,326
509,C18.2n6c,BESFA.23.2.2,0.1
510,C18.2n6c,BESFA.23.2.21,0.1
511,C18.2n6c,BESFA.23.2.22,4.8
512,C18.2n6c,BESFA.23.2.23,113.3
513,C18.2n6c,BESFA.23.2.24,0.1
514,C18.2n6c,BESFA.23.2.25,0.2
515,C18.2n6c,BESFA.23.2.26,5.5
516,C18.2n6c,BESFA.23.2.27,111.4
517,C18.3n3c,BESFA.23.2.16,0.1
518,C18.3n3c,BESFA.23.2.17,0.1
519,C18.3n3c,BESFA.23.2.18,6.7
520,C18.3n3c,BESFA.23.2.19,211.2
521,C18.3n3c,BESFA.23.2.2,<LOD
522,C18.3n3c,BESFA.23.2.21,0.1
523,C18.3n3c,BESFA.23.2.22,2
524,C18.3n3c,BESFA.23.2.23,71.6
525,C18.3n3c,BESFA.23.2.24,0.1
526,C18.3n3c,BESFA.23.2.25,0.1
527,C18.3n3c,BESFA.23.2.26,2.1
528,C18.3n3c,BESFA.23.2.27,62.6
529,C18.4n3,BESFA.23.2.16,<LOD
530,C18.4n3,BESFA.23.2.17,<LOD
531,C18.4n3,BESFA.23.2.18,31.6
532,C18.4n3,BESFA.23.2.19,487
533,C18.4n3,BESFA.23.2.2,<LOD
534,C18.4n3,BESFA.23.2.21,0.1
535,C18.4n3,BESFA.23.2.22,0.8
536,C18.4n3,BESFA.23.2.23,39.4
537,C18.4n3,BESFA.23.2.24,<LOD
538,C18.4n3,BESFA.23.2.25,<LOD
539,C18.4n3,BESFA.23.2.26,1.7
540,C18.4n3,BESFA.23.2.27,49.1
541,C20.0,BESFA.23.2.16,0.2
542,C20.0,BESFA.23.2.17,0.2
543,C20.0,BESFA.23.2.18,0.5
544,C20.0,BESFA.23.2.19,28.5
545,C20.0,BESFA.23.2.2,0.2
546,C20.0,BESFA.23.2.21,0.2
547,C20.0,BESFA.23.2.22,0.4
548,C20.0,BESFA.23.2.23,3.7
549,C20.0,BESFA.23.2.24,0.2
550,C20.0,BESFA.23.2.25,0.2
551,C20.0,BESFA.23.2.26,0.5
552,C20.0,BESFA.23.2.27,8.5
553,C20.1n9c,BESFA.23.2.16,0.4
554,C20.1n9c,BESFA.23.2.17,0.4
555,C20.1n9c,BESFA.23.2.18,69.3
556,C20.1n9c,BESFA.23.2.19,1362.9
557,C20.1n9c,BESFA.23.2.2,0.2
558,C20.1n9c,BESFA.23.2.21,0.5
559,C20.1n9c,BESFA.23.2.22,15.9
560,C20.1n9c,BESFA.23.2.23,266.6
561,C20.1n9c,BESFA.23.2.24,0.4
562,C20.1n9c,BESFA.23.2.25,0.4
563,C20.1n9c,BESFA.23.2.26,26.4
564,C20.1n9c,BESFA.23.2.27,419.1
565,C20.2n6c,BESFA.23.2.16,0.2
566,C20.2n6c,BESFA.23.2.17,0.2
567,C20.2n6c,BESFA.23.2.18,33.2
568,C20.2n6c,BESFA.23.2.19,658.1
569,C20.2n6c,BESFA.23.2.2,0.5
570,C20.2n6c,BESFA.23.2.21,0.4
571,C20.2n6c,BESFA.23.2.22,16.1
572,C20.2n6c,BESFA.23.2.23,243.3
573,C20.2n6c,BESFA.23.2.24,0.5
574,C20.2n6c,BESFA.23.2.25,0.3
575,C20.2n6c,BESFA.23.2.26,30.5
576,C20.2n6c,BESFA.23.2.27,366.5
577,C20.3n6,BESFA.23.2.16,<LOD
578,C20.3n6,BESFA.23.2.17,<LOD
579,C20.3n6,BESFA.23.2.18,1.2
580,C20.3n6,BESFA.23.2.19,74.9
581,C20.3n6,BESFA.23.2.2,<LOD
582,C20.3n6,BESFA.23.2.21,<LOD
583,C20.3n6,BESFA.23.2.22,<LOD
